"Trop de garçons pour Anne-Marie / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, cop. 1993";"119 p. ; 20 cm";"Les baby-sitters ; 34";"Traduction de: Mary Anne and too many boys
""Quatre gardiennes fondent leur club""";"2-7625-7322-X (br.) :";"Ferron, Nicole , trad.";"Mary Anne and too many boys";"0000339493"
"Marjorie et Fantômas / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"124 p. ; 18 cm";"Les baby-sitters. Mystère ; no 3";"Traduction de: Mallory and the ghost cat
Roman";"2-7625-7663-6 (br.) :";"Ferron, Nicole , trad.";"Mallory and the ghost cat";"0000422528"
"Marjorie fait la grève / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"118 p. ; 20 cm";"Les baby-sitters ; 47";"Traduction de: Mallory on strike
Roman";"2-7625-7704-7 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Mallory on strike";"0000436248"
"La petite soeur de Karen / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"89 p. : ill. ; 20 cm";"Les baby-sitters. Le petit monde de Karen ; no 6";"Traduction de: Karen's little sister";"2-7625-7668-7 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Karen's little sister";"0000422531"
"La photo de classe / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"88 p. : ill. ; 20 cm";"Les baby-sitters. Le petit monde de Karen ; no 5";"Traduction de: Karen's school picture";"2-7625-7667-9 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Karen's school picture";"0000422530"
"Prends garde, Diane! / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"124 p. ; 18 cm";"Les baby-sitters. Mystère ; no 2";"Traduction de: Beware, Dawn!";"2-7625-7662-8 (br.) :";"Prieur, Sylvie , trad.";"Beware, Dawn!";"0000422527"
"Le rendez-vous de Diane / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"115 p. ; 20 cm";"Les baby-sitters ; 50";"Traduction de: Dawn's big date
Roman
L'édition ""Célébration du numéro 50"" est accompagnée d'un ""Carnet personnel""";"2-7625-7705-5 (br.) :
2-7625-7800-0 (éd. ""Célébration du numéro 50"")";"Ferron, Nicole , trad.";"Dawn's big date";"0000439482"
"Le souhait de Jessie / Ann M. Martin ; adapté de l'américain par Marie-Claude Favreau";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"118 p. ; 20 cm";"Les baby-sitters ; 48";"Traduction de: Jessi's wish
Roman";"2-7625-7705-5 (br.) :";"Favreau, Marie-Claude, 1959- , trad.";"Jessi's wish";"0000436245"
"Sophie et la bague disparue / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"123 p. ; 18 cm";"Les baby-sitters. Mystère ; no 1";"Traduction de: Stacey and the missing ring";"2-7625-7661-X (br.) :";"Prieur, Sylvie , trad.";"Stacey and the missing ring";"0000422525"
"Diane et la super pyjamade / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1994 (Saint-Lambert : Payette & Simms)";"110 p. ; 20 cm";"Les baby-sitters ; 44";"Traduction de: Dawn and the big sleepover
Roman";"2-7625-7592-3 (br.) :";"Prieur, Sylvie , trad.";"Dawn and the big sleepover";"0000423966"
