Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb35524863d | ISBN 2803423804 | ;35524863;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-25821 (3) | ;1;"L'horrible journée / Ann M. Martin ; [trad. par Nathalie Chaput]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Chaput, Nathalie | ;Chaput, Nathalie. Traducteur;Chantecler (Aartselaar);1992;"Collection : (La petite soeur des baby-sitters ; 3) | Code à barres commercial : EAN 9782803423804 | ";;;fre | français | ;"77 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524863d | ISBN 2803423804 | ;35524863;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14732 | ;2;"L'horrible journée / Ann M. Martin ; [trad. par Nathalie Chaput]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Chaput, Nathalie | ;Chaput, Nathalie. Traducteur;Chantecler (Aartselaar);1992;"Collection : (La petite soeur des baby-sitters ; 3) | Code à barres commercial : EAN 9782803423804 | ";;;fre | français | ;"77 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524902g;35524902;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (17) | ;1;"Mélanie et le maléfice / Ann M. Martin ; [trad. par Marie-Laure Goupil]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | ;Goupil, Marie-Laure. Traducteur;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 17)";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524902g;35524902;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14773 | ;2;"Mélanie et le maléfice / Ann M. Martin ; [trad. par Marie-Laure Goupil]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | ;Goupil, Marie-Laure. Traducteur;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 17)";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524867s | ISBN 2803423812 | ;35524867;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-25821 (4) | ;1;"Le Miaou-club / Ann M. Martin ; [trad. par Françoise Rose]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | ;Rose, Françoise (1948-....). Traducteur;[Louvre] (Aartselaar) | Chantecler (Aartselaar) | ;1992;"Collection : (La petite soeur des baby-sitters ; 4) | Code à barres commercial : EAN 9782803423811 | ";;;fre | français | ;"76 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524867s | ISBN 2803423812 | ;35524867;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14774 | ;2;"Le Miaou-club / Ann M. Martin ; [trad. par Françoise Rose]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | ;Rose, Françoise (1948-....). Traducteur;[Louvre] (Aartselaar) | Chantecler (Aartselaar) | ;1992;"Collection : (La petite soeur des baby-sitters ; 4) | Code à barres commercial : EAN 9782803423811 | ";;;fre | français | ;"76 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb355936961 | ISBN 2803425777 | ;35593696;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-28216 (2) | ;1;"Carole et l'ennemi invisible / Ann M. Martin ; [trad. française, Michèle Guillemin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Guillemin, Michèle (1946-....) | ;Guillemin, Michèle (1946-....). Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 2) | Code à barres commercial : EAN 9782803425778 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb355936961 | ISBN 2803425777 | ;35593696;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14711 | ;2;"Carole et l'ennemi invisible / Ann M. Martin ; [trad. française, Michèle Guillemin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Guillemin, Michèle (1946-....) | ;Guillemin, Michèle (1946-....). Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 2) | Code à barres commercial : EAN 9782803425778 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35592807w | ISBN 2803425823 | ;35592807;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (21) | ;1;"Double cauchemar pour Marjorie / Ann M. Martin ; [trad. par Françoise Rose]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | ;Rose, Françoise (1948-....). Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 21) | Code à barres commercial : EAN 9782803425822 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35592807w | ISBN 2803425823 | ;35592807;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14724 | ;2;"Double cauchemar pour Marjorie / Ann M. Martin ; [trad. par Françoise Rose]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | ;Rose, Françoise (1948-....). Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 21) | Code à barres commercial : EAN 9782803425822 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35592813t | ISBN 2803425831 | ;35592813;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (22) | ;1;"Justine, animal-sitter / Ann M. Martin ; [trad. par Marie-Laure Goupil]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | ;Goupil, Marie-Laure. Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 22) | Code à barres commercial : EAN 9782803425839 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35592813t | ISBN 2803425831 | ;35592813;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14737 | ;2;"Justine, animal-sitter / Ann M. Martin ; [trad. par Marie-Laure Goupil]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Goupil, Marie-Laure | ;Goupil, Marie-Laure. Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 22) | Code à barres commercial : EAN 9782803425839 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35593700f | ISBN 2803425785 | ;35593700;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-28216 (3) | ;1;"Marjorie et le chat fantôme / Ann M. Martin ; [trad. française, Nancy Peterson]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Peterson, Nancy | ;Peterson, Nancy. Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 3) | Code à barres commercial : EAN 9782803425785 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35593700f | ISBN 2803425785 | ;35593700;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14744 | ;2;"Marjorie et le chat fantôme / Ann M. Martin ; [trad. française, Nancy Peterson]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Peterson, Nancy | ;Peterson, Nancy. Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 3) | Code à barres commercial : EAN 9782803425785 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35593658g | ISBN 2803425769 | ;35593658;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-28216 (1) | ;1;"Qui a volé les diamants ? / Ann M. Martin ; [trad. française, Nancy Peterson]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Peterson, Nancy | ;Peterson, Nancy. Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 1) | Code à barres commercial : EAN 9782803425761 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35593658g | ISBN 2803425769 | ;35593658;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14765 | ;2;"Qui a volé les diamants ? / Ann M. Martin ; [trad. française, Nancy Peterson]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Peterson, Nancy | ;Peterson, Nancy. Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 1) | Code à barres commercial : EAN 9782803425761 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35593707v | ISBN 2803425793 | ;35593707;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-28216 (4) | ;1;"Valérie et l'enfant disparu / Ann M. Martin ; [trad. française, Michèle Guillemin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Guillemin, Michèle (1946-....) | ;Guillemin, Michèle (1946-....). Traducteur;Chantecler (Aartselaar);1993;"Collection : (Le club des babysitters ; 4) | Code à barres commercial : EAN 9782803425792 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
